Grado,T. Promedio Estandar (ns),T. Promedio Horner (ns)
10,333.4,140.7
20,1086.8,217.6
30,2446.8,289.9
40,4380.7,366.1
50,7033.7,449.2
60,10301.3,518.2
70,14084.1,640.4
80,18660.3,668.8
90,23747.2,758
100,29513.2,821.9
110,36386.9,901.3
120,42381.7,972
130,50197.3,1050.6
140,58110,1127.6
150,67035.2,1196.5
160,76478.7,1282.5
170,86419.9,1352.1
180,97410.6,1448
190,110080,1518.1
200,119812,1578
210,131666,1658.1
220,144742,1737
230,158241,1822.5
240,172258,1885.3
250,187085,1963.5
260,202203,2042.1
270,218427,2132.2
280,234819,2188.2
290,251694,2262.3
300,269391,2343.6
310,288362,2412.2
320,306763,2485.2
330,327132,2570.9
340,347324,2650.2
350,367402,2734.6
360,390503,2807.7
370,411169,2869
380,433303,2932.3
390,456355,3025.5
400,480702,3160.6
410,507103,3168.2
420,529450,3246.4
430,558165,3346.9
440,581312,3408.4
450,609900,3465
460,635243,3546
470,663123,3627.2
480,692897,3704.1
490,720826,3761.6
500,750869,3870
510,783342,3941.3
520,812871,3993.1
530,844851,4072.2
540,876475,4194.6
550,909226,4218.9
560,947580,4325.5
570,977822,4394.1
580,1.01E+06,4455.1
590,1.05E+06,4523.6
600,1.08E+06,4606
610,1.12E+06,4674.7
620,1.16E+06,4770.8
630,1.19E+06,4822
640,1.23E+06,4922.8
650,1.27E+06,4990.3
660,1.31E+06,5051.4
670,1.35E+06,5130.1
680,1.39E+06,5223.8
690,1.43E+06,5266.2
700,1.47E+06,5355.8
710,1.52E+06,5416.5
720,1.56E+06,5507.5
730,1.60E+06,5615.5
740,1.65E+06,5646
750,1.70E+06,5728.5
760,1.74E+06,5813.1
770,1.78E+06,5909.2
780,1.83E+06,5969.4
790,1.88E+06,6047.5
800,1.93E+06,6093.7
810,1.98E+06,6212.4
820,2.02E+06,6257.1
830,2.08E+06,6350.8
840,2.13E+06,6409.7
850,2.18E+06,6570.6
860,2.23E+06,6565.5
870,2.28E+06,6657
880,2.33E+06,6769.3
890,2.39E+06,6868.4
900,2.44E+06,6902.4
910,2.50E+06,6939.9
920,2.55E+06,7050
930,2.61E+06,7124.6
940,2.66E+06,7166.1
950,2.72E+06,7284.6
960,2.78E+06,7339.8
970,2.84E+06,7453.2
980,2.90E+06,7563.1
990,2.96E+06,7564.7
1000,3.01E+06,7649.8
